127.0.0.1 - - [22/Feb/2014:13:48:49 +0800] "GET /app_dev.php/hello/eric HTTP/1.1" 200 12
127.0.0.1 - - [22/Feb/2014:13:48:54 +0800] "GET /bundles/framework/css/structure.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:13:48:54 +0800] "GET /bundles/framework/css/body.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:13:48:54 +0800] "GET /bundles/acmedemo/images/welcome-configure.gif HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:13:48:54 +0800] "GET /bundles/acmedemo/css/demo.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:13:48:54 +0800] "GET /bundles/acmedemo/images/welcome-quick-tour.gif HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:13:48:54 +0800] "GET /bundles/acmedemo/images/welcome-demo.gif HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:13:48:54 +0800] "GET /app_dev.php/ HTTP/1.1" 200 12342
127.0.0.1 - - [22/Feb/2014:13:48:54 +0800] "GET /app_dev.php/_wdt/8be61a HTTP/1.1" 200 28694
127.0.0.1 - - [22/Feb/2014:14:04:51 +0800] "GET /bundles/framework/css/structure.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:14:04:51 +0800] "GET /bundles/framework/css/body.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:14:04:51 +0800] "GET /bundles/acmedemo/css/demo.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:14:04:51 +0800] "GET /favicon.ico HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:14:04:51 +0800] "GET /bundles/acmedemo/images/welcome-quick-tour.gif HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:14:04:51 +0800] "GET /bundles/acmedemo/images/welcome-demo.gif HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:14:04:51 +0800] "GET /bundles/acmedemo/images/welcome-configure.gif HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:14:04:49 +0800] "GET /app_dev.php/ HTTP/1.1" 200 12342
127.0.0.1 - - [22/Feb/2014:14:04:51 +0800] "GET /app_dev.php/_wdt/97ae50 HTTP/1.1" 200 28696
127.0.0.1 - - [22/Feb/2014:17:27:15 +0800] "GET / HTTP/1.1" 302 214
127.0.0.1 - - [22/Feb/2014:17:27:15 +0800] "GET /app_dev.php/ HTTP/1.1" 200 12342
127.0.0.1 - - [22/Feb/2014:17:27:15 +0800] "GET /bundles/framework/css/structure.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:17:27:15 +0800] "GET /bundles/acmedemo/css/demo.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:17:27:15 +0800] "GET /bundles/framework/css/body.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:17:27:15 +0800] "GET /favicon.ico HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:17:27:15 +0800] "GET /bundles/acmedemo/images/welcome-quick-tour.gif HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:17:27:15 +0800] "GET /bundles/acmedemo/images/welcome-configure.gif HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:17:27:15 +0800] "GET /bundles/acmedemo/images/welcome-demo.gif HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:17:27:15 +0800] "GET /app_dev.php/_wdt/aa4b9f HTTP/1.1" 200 28694
127.0.0.1 - - [22/Feb/2014:17:27:20 +0800] "GET /app.php/ HTTP/1.1" 404 553
127.0.0.1 - - [22/Feb/2014:17:27:27 +0800] "GET /app_dev.php/ HTTP/1.1" 200 12342
127.0.0.1 - - [22/Feb/2014:17:27:27 +0800] "GET /app_dev.php/_wdt/1005af HTTP/1.1" 200 28694
127.0.0.1 - - [22/Feb/2014:19:26:46 +0800] "GET /bundles/framework/css/structure.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:19:26:46 +0800] "GET /bundles/acmedemo/css/demo.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:19:26:46 +0800] "GET /bundles/framework/css/body.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:19:26:46 +0800] "GET /bundles/acmedemo/images/welcome-quick-tour.gif HTTP/1.1" 304 -
127.0.0.1 - - [22/Feb/2014:19:26:46 +0800] "GET /favicon.ico HTTP/1.1" 304 -
